snes-00726	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true	https://www.snopes.com/fact-check/ohio-candidate-pro-assad-group/	None	Politics	None	Bethania Palma	None	Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?	23 April 2018	None	['Ohio', 'Democratic_Party_(United_States)']
snes-02210	A woman was hospitalized after a fidget spinner became lodged in her vagina.	false	https://www.snopes.com/fact-check/fidget-spinner-stuck-in-woman/	None	Junk News	None	Kim LaCapria	None	Did a Woman Require Surgery After a Fidget Spinner Became Stuck in Her Vagina?	14 June 2017	None	['None']
snes-02439	In 1926, the federal government poisoned alcohol to curb consumption during Prohibition; by the time Prohibition ended in 1933, an estimated 10,000 people had died from this poisoning.	mixture	https://www.snopes.com/fact-check/government-poison-10000-americans/	None	History	None	David Emery	None	Did the U.S. Government Purposely Poison 10,000 Americans During Prohibition?	12 May 2017	None	['Prohibition']
snes-01598	New Research Suggests Massive Yellowstone Eruption Could Occur Sooner Than Expected?	false	https://www.snopes.com/fact-check/new-research-yellowstone-eruption-occur-sooner/	None	Science	None	Alex Kasprak	None	New Research Suggests Massive Yellowstone Eruption Could Occur Sooner Than Expected?	12 October 2017	None	['None']
snes-03886	An incoming "record-breaking snowfall" will blanket most of the U.S. this winter.	false	https://www.snopes.com/fact-check/keyser-snowze/	None	Junk News	None	Kim LaCapria	None	Meteorologists Predict Record-Shattering Snowfall Coming Soon	8 September 2014	None	['United_States']
snes-03971	Police shootings kill more white Americans than black Americans.	mixture	https://www.snopes.com/fact-check/do-police-kill-more-whites-than-black-people/	None	Uncategorized	None	Bethania Palma	None	Do Police Kill More White People Than Black People?	22 September 2016	None	['United_States']
snes-00024	Is Christine Blasey Ford ‘Deeply Tied’ to the Central Intelligence Agency?	false	https://www.snopes.com/fact-check/christine-blasey-ford-cia/	None	Politics	None	Dan MacGuill	None	Is Christine Blasey Ford ‘Deeply Tied’ to the Central Intelligence Agency?	2 October 2018	None	['None']
snes-01658	Did Donald Trump Bankrupt a Golf Course, Leaving Puerto Rico with $33 Million in Debt?	mixture	https://www.snopes.com/fact-check/trump-puerto-rico-golf-course/	None	Politics	None	Dan MacGuill	None	Did Donald Trump Bankrupt a Golf Course, Leaving Puerto Rico with $33 Million in Debt?	27 September 2017	None	['None']
snes-05723	A federal court upheld a ruling that school officials acted correctly in requiring students to remove clothing featuring U.S. flag designs on Cinco de Mayo.	true	https://www.snopes.com/fact-check/school-bans-u-s-flag-t-shirts-cinco-de-mayo/	None	Politics	None	David Mikkelson	None	School Bans U.S. Flag T-Shirts on Cinco de Mayo	26 February 2014	None	['United_States']
snes-01804	Donald Trump donated Play-Doh brand modeling clay to Louisiana flood victims.	mixture	https://www.snopes.com/fact-check/donald-trump-play-doh-lousiana/	None	Politicians	None	Dan Evon	None	Donald Trump Donated Play-Doh, Other Items to Louisiana Flood Victims?	20 August 2016	None	['Louisiana']
snes-05305	Residents of Flint, Michigan, are legally prohibited from selling their homes and moving away due to the ongoing water crisis.	false	https://www.snopes.com/fact-check/illegal-sell-homes-flint/	None	Legal	None	Kim LaCapria	None	FALSE: Illegal for Flint Residents to Sell Homes	28 January 2016	None	['Michigan', 'Flint,_Michigan']
snes-05466	Disney has removed items featuring Piglet from their stores due to pressure from the Muslim community.	false	https://www.snopes.com/fact-check/piglet-disney-muslim-demand/	None	Junk News	None	Dan Evon	None	FALSE: Piglet Removed from Disney Stores	20 December 2015	None	['None']
snes-06253	Rub-on "tattoos" of cartoon characters laced with LSD are handed out to children by unscrupulous drug dealers.	false	https://www.snopes.com/fact-check/blue-star-acid/	None	Horrors	None	David Mikkelson	None	LSD Tattoos	9 April 2012	None	['None']
snes-00854	A new law in Florida legalized recreational use of marijuana.	false	https://www.snopes.com/fact-check/did-florida-pass-recreational-marijuana/	None	Junk News	None	Kim LaCapria	None	Did Florida Pass a Bill Legalizing Recreational Use of Marijuana?	23 March 2018	None	['None']
snes-03379	The Southern Baptist Convention purchased fast food chain Chick fil-A.	false	https://www.snopes.com/fact-check/southern-baptist-convention-buys-chick-fil/	None	Uncategorized	None	Bethania Palma	None	Southern Baptist Convention Buys Chick fil-A	9 December 2016	None	['None']
snes-01155	In July 2016, Amanda Teague legally married the spirit of a Haitian pirate who died in the 1700s.	false	https://www.snopes.com/fact-check/ghost-pirate-marriage/	None	Viral Phenomena	None	Dan MacGuill	None	Did an Irish Woman Legally Marry the Ghost of a Pirate From the 1700s?	22 January 2018	None	['Haiti']
snes-06183	The federal government provides a much greater monthly allowance to refugees than to retirees.	false	https://www.snopes.com/fact-check/refugees-paid-retirees/	None	Immigration	None	Snopes Staff	None	Are Refugees Paid More Than Retirees?	31 July 2007	None	['None']
snes-03079	The 'Dr. Phil Show' guest known as the "Cash Me Outside" girl committed suicide.	false	https://www.snopes.com/fact-check/cash-me-outside-suicide/	None	Junk News	None	Kim LaCapria	None	Did Dr. Phil’s ‘Cash Me Outside’ Girl Commit Suicide?	24 January 2017	None	['None']
snes-00457	The Trump administration is building "tent cities" to house minor immigrants.	mixture	https://www.snopes.com/fact-check/is-trump-putting-children-tent-cities/	None	Politics	None	Kim LaCapria	None	Is the Trump Administration Putting Immigrant Children in ‘Tent Cities’?	15 June 2018	None	['None']
snes-00147	Tech billionaires such as Bill Gates and Steve Jobs advocated limiting children's use of technology.	true	https://www.snopes.com/fact-check/tech-billionaire-parents-limit/	None	Technology	None	Dan Evon	None	Did Bill Gates, Steve Jobs, and Other Tech Billionaire Parents Advocate Limiting Children’s Technology Use?	30 August 2018	None	['Bill_Gates', 'Steve_Jobs']
snes-03125	Are California College Students Cutting Off Their Genitals Over Trump's 'Wall' Plan?	false	https://www.snopes.com/fact-check/california-college-students-castrating-trumps-wall/	None	Junk News	None	Arturo Garcia	None	Are California College Students Cutting Off Their Genitals Over Trump’s ‘Wall’ Plan?	17 January 2017	None	['None']
snes-02304	A photograph shows Muslims from a New York mosque burning an American flag in protest of President Donald Trump.	false	https://www.snopes.com/fact-check/mosque-burn-american-flag/	None	Fauxtography	None	Dan Evon	None	Did a New York Mosque Burn an American Flag to Protest President Trump?	31 May 2017	None	['United_States', 'New_York_City', 'Donald_Trump']
snes-00585	Was Nikola Tesla a Swimming Instructor?	miscaptioned	https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/	None	Fauxtography	None	Dan Evon	None	Was Nikola Tesla a Swimming Instructor?	16 May 2018	None	['None']
snes-02637	Morris "Moe" Berg, a multilingual Princeton University graduate who played major league baseball throughout the 1920s and '30s, lived a life of danger and intrigue as a U.S. military intelligence officer in Europe during World War II.	mostly true	https://www.snopes.com/fact-check/baseball-player-moe-berg-spy/	None	History	None	David Emery	None	Was Baseball Player Moe Berg a World War II Spy?	11 April 2017	None	['United_States', 'Europe', 'Princeton_University', 'World_War_II']
snes-00874	Is There a Warrant for CIA Director Nominee Gina Haspel's Arrest?	false	https://www.snopes.com/fact-check/is-there-a-warrant-for-cia-nominee-gina-haspels-arrest/	None	Crime	None	Arturo Garcia	None	Is There a Warrant for CIA Director Nominee Gina Haspel’s Arrest?	19 March 2018	None	['None']
snes-01126	Heather Wick joked about having a slave as a maid in a January 2017 Facebook post.	true	https://www.snopes.com/fact-check/heather-wick-slavery-joke/	None	Viral Phenomena	None	Dan MacGuill	None	Did a Vermont Woman Post a Joke About Trump ‘Bringing Back Slavery’?	25 January 2018	None	['None']
snes-03328	A forthcoming Russian reality show called "Game2: Winter" will permit contestants to commit crimes, including rape and murder.	false	https://www.snopes.com/fact-check/russian-reality-show-game2-winter-allows-rape-murder/	None	Entertainment	None	Kim LaCapria	None	Russian Reality Show ‘Game2: Winter’ Allows Rape, Murder?	16 December 2016	None	['Russia']
snes-04878	When someone asked Eric Clapton what it was like to be the greatest guitar player in the world, he responded: "I don't know, ask Prince."	false	https://www.snopes.com/fact-check/eric-clapton-quote-about-prince/	None	Entertainment	None	Kim LaCapria	None	Eric Clapton’s Prince	22 April 2016	None	['Eric_Clapton', 'Prince_(musician)']
snes-00521	An official sign for Starbucks racial bias training explained that stores were closed to "educate white people about their racism."	false	https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/	None	Fauxtography	None	Dan Evon	None	Did a Sign for Starbucks Racial Bias Training Single Out White People?	1 June 2018	None	['None']
snes-00580	Images show the aftermath of a plane crash in Havana, Cuba in May 2018.	false	https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/	None	Fauxtography	None	Dan Evon	None	Is This the Aftermath of a 2018 Plane Crash in Havana?	18 May 2018	None	['Havana', 'Cuba']
snes-05893	Actress Jamie Lee Curtis acknowledged in an interview that she was born with both male and female sex organs.	false	https://www.snopes.com/fact-check/jamie-lee-curtis/	None	Entertainment	None	Snopes Staff	None	Jamie Lee Curtis: Male and Female?	6 April 2001	None	['None']
snes-06340	Jane Fonda at Sir Scott's Oasis Steakhouse	false	https://www.snopes.com/fact-check/jane-fonda-sir-scotts-oasis-steakhouse/	None	Politics	None	Snopes Staff	None	Jane Fonda at Sir Scott’s Oasis Steakhouse	23 April 2004	None	['Jane_Fonda']
snes-05587	A photograph shows President Obama posing next to a 69 or 420 mile marker.	false	https://www.snopes.com/fact-check/president-obama-69-alaska/	None	Fauxtography	None	Dan Evon	None	Did President Obama Pose Next to a Mile 69 or 420 Marker?	4 September 2015	None	['Barack_Obama']
snes-04014	The real Hillary Clinton has been dead since 1998 and was replaced with a clone.	false	https://www.snopes.com/fact-check/hillary-clinton-dead-and-cloned/	None	Conspiracy Theories	None	Bethania Palma	None	Hillary Clinton Is Actually Dead and Has Been Cloned	16 September 2016	None	['None']
snes-04901	A McDonald's employee was arrested for masturbating into the restaurant's condiments.	false	https://www.snopes.com/fact-check/mcdonalds-secret-sauce/	None	Junk News	None	Dan Evon	None	McDonald’s Employee Admits to Ejaculating in Big Mac ‘Secret Sauce’ for Nearly 2 Years	18 April 2016	None	['None']
snes-04688	A customer of Huck Finn's Cafe in New Orleans discovered a racist epithet on her receipt.	mostly true	https://www.snopes.com/fact-check/racial-slur-on-huck-finns-receipt/	None	Fauxtography	None	Kim LaCapria	None	Racial Slur on Huck Finn’s Receipt?	31 May 2016	None	['New_Orleans']
snes-05770	Purchases of U.S. flags are exempt from sales taxes.	mixture	https://www.snopes.com/fact-check/banner-purchase/	None	Uncategorized	None	David Mikkelson	None	U.S. Flags Exempt from Sales Taxes	10 April 2015	None	['United_States']
snes-03223	President-Elect Donald Trump appointed Sarah Palin Science and Technology Advisor.	false	https://www.snopes.com/fact-check/did-donald-trump-appoint-sarah-palin-as-a-science-advisor/	None	Junk News	None	Kim LaCapria	None	Did Donald Trump Appoint Sarah Palin as a Science Advisor?	2 January 2017	None	['None']
snes-01165	New York senator Chuck Schumer accepted a campaign donation of half a million dollars from pro-immigration groups just prior to a crucial Congressional vote.	false	https://www.snopes.com/fact-check/schumer-500k-donation/	None	Junk News	None	David Mikkelson	None	Did Chuck Schumer Receive $500K Donation from ‘Pro-Illegal Alien’ Group Just Before Vote?	21 January 2018	None	['Chuck_Schumer', 'United_States_Congress', 'New_York_City']
snes-04593	Alabama CPS agents took custody of a baby because his teen mother was raped.	unproven	https://www.snopes.com/fact-check/alabama-cps-medical-kidnap/	None	Viral Phenomena	None	Kim LaCapria	None	Alabama CPS ‘Medical Kidnap’	17 June 2016	None	['None']
snes-04460	Russia placed Black Lives Matter on an official "terror list" in July 2016.	false	https://www.snopes.com/fact-check/black-lives-matter-terrorist-russia/	None	Crime	None	Dan Evon	None	Russia Put Black Lives Matter on Official Terror List	13 July 2016	None	['Russia']
snes-02416	A video captures a cat with an extremely deep meow.	false	https://www.snopes.com/fact-check/cat-unusually-deep-voice/	None	Fauxtography	None	Dan Evon	None	Does This Cat Have an Unusually Deep Voice?	17 May 2017	None	['None']
snes-03899	A video shows a mother forcibly shaving her daughter's head as punishment for making fun of a bald cancer patient.	unproven	https://www.snopes.com/fact-check/mom-shaves-daughters-head/	None	Fauxtography	None	Dan Evon	None	Did a Mom Shave Her Daughter’s Head After She Bullied a Girl with Cancer?	11 June 2016	None	['None']
snes-04257	Donald Trump issued a tweet making disparaging comments about Utah.	false	https://www.snopes.com/fact-check/donald-trump-utah-tweet-fake/	None	Junk News	None	Dan Evon	None	Donald Trump: Utah Is a ‘Boring, Small State’ with ‘Strange People’	12 August 2016	None	['Utah', 'Donald_Trump']
snes-00674	Is This Sign at the United States-Mexico Border Real?	false	https://www.snopes.com/fact-check/is-u-s-border-sign-free-stuff-real/	None	Fauxtography	None	Dan Evon	None	Is This Sign at the United States-Mexico Border Real?	2 May 2018	None	['None']
snes-02228	A photograph shows a horse whose coat spells out the word 'horse.'	false	https://www.snopes.com/fact-check/horse-horse/	None	Fauxtography	None	David Mikkelson	None	Horse Spells ‘Horse’?	22 May 2012	None	['None']
snes-03725	Donald Trump's ancestors changed their surname from "Drumpf" to "Trump."	mostly true	https://www.snopes.com/fact-check/donald-drumpf/	None	Politics	None	Kim LaCapria	None	Trump’s Family Surname Was Once ‘Drumpf’	29 February 2016	None	['Donald_Trump']
snes-00277	A photograph shows a lion and a zebra peacefully drinking together at a watering hole.	false	https://www.snopes.com/fact-check/zebra-lion-watering-hole/	None	Fauxtography	None	Dan Evon	None	Does This Image Show a Peaceful Meeting of a Lion and a Zebra at a Watering Hole?	31 July 2018	None	['None']
snes-00363	Does This Video Show 8 Supernatural Car Crashes?	false	https://www.snopes.com/fact-check/video-8-supernatural-car-crashes/	None	Fauxtography	None	Dan Evon	None	Does This Video Show 8 Supernatural Car Crashes?	9 July 2018	None	['None']
snes-00506	A military veteran and educator wrote an opinion piece arguing that the United States is in a modern Civil War.	misattributed	https://www.snopes.com/fact-check/did-jack-minzey-modern-civil-war/	None	Questionable Quotes	None	Dan Evon	None	Did a Professor Named Jack Minzey Write About ‘a Modern Civil War’?	5 June 2018	None	['United_States']
snes-05691	A gun-toting Australian granny blew the testicles off the two men who raped her granddaughter.	false	https://www.snopes.com/fact-check/grambo/	None	Crime	None	Snopes Staff	None	Did a ‘Gun-Toting Granny’ Shoot Two Rapists’ Testicles Off?	9 March 2000	None	['Australia']
snes-02261	An image shows President Trump partying with a stripper.	false	https://www.snopes.com/fact-check/trump-stripper-photograph/	None	Fauxtography	None	Dan Evon	None	Is this President Trump with a Scantily Clad Woman?	6 June 2017	None	['None']
snes-01623	The Department of Agriculture rejected a request by Puerto Rico that Nutrition Assistance Program rules be waived so that food stamps recipients could use EBT cards to purchase hot food.	mixture	https://www.snopes.com/fact-check/puerto-rico-food-stamps/	None	Uncategorized	None	Dan MacGuill	None	Did Trump Administration Refuse Puerto Rico’s Request to Allow Food Stamps to be Used for Hot Meals?	5 October 2017	None	['Electronic_Benefit_Transfer']
snes-04065	A farm kid's humorous letter home describes life as a Marine.	legend	https://www.snopes.com/fact-check/marine-life/	None	Humor	None	David Mikkelson	None	Marine’s Letter Home	25 March 2006	None	['None']
snes-03967	A photograph of current and former U.S. presidents shows President Obama giving former President George W. Bush "bunny ears."	false	https://www.snopes.com/fact-check/obama-gives-bush-bunny-ears/	None	Fauxtography	None	Dan Evon	None	Obama Gives Bush ‘Bunny Ears’	23 September 2016	None	['United_States', 'Barack_Obama', 'George_W._Bush']
snes-02498	Thomas Crapper invented the flush toilet.	false	https://www.snopes.com/fact-check/thomas-crapper/	None	Business	None	David Mikkelson	None	Thomas Crapper: Inventor of the Flush Toilet?	16 December 2000	None	['None']
snes-05729	Former Lockheed Martin engineer Boyd Bushman provided evidence of human contact with alien life just before his death in August 2014.	false	https://www.snopes.com/fact-check/boyd-bushman-aliens/	None	Fauxtography	None	David Mikkelson	None	Did Boyd Bushman Provide Evidence of Alien Contact?	31 October 2014	None	['Lockheed_Martin']
snes-00981	Is Laura Phelps a Crisis Actor Who Lost a Child at Both Sandy Hook and Marjory Stoneman Douglas?	false	https://www.snopes.com/fact-check/is-laura-phelps-a-crisis-actor-who-lost-a-child-at-both-sandy-hook-and-parkland/	None	Junk News	None	Dan Evon	None	Is Laura Phelps a Crisis Actor Who Lost a Child at Both Sandy Hook and Marjory Stoneman Douglas?	21 February 2018	None	['None']
snes-05483	An FBI field agent quietly warned a Missouri sheriff's department that a propane bomb attack is expected around Christmas.	false	https://www.snopes.com/fact-check/missouri-propane-tank-bomb-warning/	None	Crime	None	Kim LaCapria	None	Missouri Propane Tank Bomb Terror Warning	16 December 2015	None	['Federal_Bureau_of_Investigation', 'Missouri', 'Christmas']
snes-00062	Publix is giving away $75 grocery coupons to Facebook users.	scam	https://www.snopes.com/fact-check/publix-coupon-scam/	None	Fraud & Scams	None	David Mikkelson	None	Publix $75 Coupon Scam	19 September 2018	None	['None']
snes-01680	The NFL's rulebook contains a regulation specifically requiring players to stand on the sideline during the pre-game playing of the U.S. national anthem.	mixture	https://www.snopes.com/fact-check/must-nfl-players-stand/	None	Politics	None	David Mikkelson	None	Are NFL Players Required to Stand on the Field During the National Anthem?	24 September 2017	None	['United_States', 'National_Football_League']
snes-03835	Melania Trump wore a "pussy-bow" blouse to the second 2016 presidential debate.	true	https://www.snopes.com/fact-check/melania-trump-wore-pussy-bow/	None	Politicians	None	Bethania Palma	None	Melania Trump Wore ‘Pussy-Bow’ Blouse to Presidential Debate	10 October 2016	None	['None']
snes-01748	In August 2017, a "leading toy company" produced a toy version of an electronic cigarette, aimed at children.	false	https://www.snopes.com/fact-check/my-first-vape-toy/	None	Business	None	Dan MacGuill	None	Is There a Children’s Toy Called ‘My First Vape’?	11 September 2017	None	['None']
snes-03687	Sweden has discontinued the tradition of adorning street poles with Christmas lights to avoid angering Muslim refugees.	false	https://www.snopes.com/fact-check/sweden-bans-christmas-lights/	None	Holidays	None	David Emery	None	Sweden Bans Christmas Lights to Avoid Angering Muslim Refugees	27 October 2016	None	['Sweden', 'Islam']
snes-02687	An ancient underground city was discovered beneath Cades Cove.	false	https://www.snopes.com/fact-check/underground-city-cades-cove/	None	Fauxtography	None	Dan Evon	None	Was a Centuries-Old Underground City Discovered Beneath Cades Cove?	3 April 2017	None	['None']
snes-00849	Emma González wore a Cuban flag patch on her jacket while speaking at the March for Our Lives rally in March 2018.	true	https://www.snopes.com/fact-check/emma-gonzalez-flag-patch/	None	Politics	None	Arturo Garcia	None	Was Emma González Wearing a Cuban Flag Patch During Her ‘March for Our Lives’ Speech?	25 March 2018	None	['Cuba']
snes-02124	A baby was thrown from Grenfell Tower while it was on fire and caught by an unidentified man.	unproven	https://www.snopes.com/fact-check/baby-grenfell-tower-fire/	None	Viral Phenomena	None	Arturo Garcia	None	Was a Baby Tossed to Safety During the Grenfell Tower Fire?	29 June 2017	None	['None']
snes-05241	A high student was forced to leave school because an assistant principal found his Captain America costume to be "offensive."	mostly false	https://www.snopes.com/fact-check/captain-america-deemed-offensive/	None	Fauxtography	None	Kim LaCapria	None	Captain America Deemed Offensive?	10 February 2016	None	['None']
snes-06153	A U.S. serviceman wrote a poem describing a soldier's lonely night before Christmas.	true	https://www.snopes.com/fact-check/the-soldiers-night-before-christmas/	None	Holidays	None	David Mikkelson	None	The Soldier’s Night Before Christmas	1 December 2000	None	['United_States', 'Christmas']
snes-02946	SpaceX will be transporting a potentially deadly pathogen to the International Space Station as part of their next launch.	true	https://www.snopes.com/fact-check/spacex-sending-deadly-pathogen/	None	Science	None	Alex Kasprak	None	Is SpaceX Sending a Deadly Pathogen to the International Space Station?	13 February 2017	None	['None']
snes-02123	A book about Hitler quotes him as saying that he would start a third world war — after his death.	false	https://www.snopes.com/fact-check/hitler-start-wwiii/	None	Politics	None	Dan Evon	None	Did Adolf Hitler Say He Would Start World War III After His Death?	29 June 2017	None	['Adolf_Hitler']
snes-01626	Measurements indicating that 2017 had relatively more sea ice in the Arctic and less melting of glacial ice in Greenland casts scientific doubt on the reality of global warming.	false	https://www.snopes.com/fact-check/does-arctic-ice-doubt-reality-climate-change/	None	Science	None	Alex Kasprak	None	Does an ‘Increase’ in Arctic and Greenland Ice Cast Doubt on the Reality of Global Warming?	4 October 2017	None	['Arctic', 'Greenland']
snes-03373	A video shows an alien that was caught in southern India, near the shared border of Kerala and Karnataka states.	miscaptioned	https://www.snopes.com/fact-check/alien-caught-on-kerala-karnataka-border/	None	Fauxtography	None	Dan Evon	None	Was an Alien Caught on the Kerala, Karnataka Border?	12 December 2016	None	['India', 'Kerala', 'Karnataka']
snes-02299	Does Donald Trump Sit Through Meetings of World Leaders Without Notes?	false	https://www.snopes.com/fact-check/trump-g7-no-notes/	None	Politics	None	Dan MacGuill	None	Does Donald Trump Sit Through Meetings of World Leaders Without Notes?	1 June 2017	None	['None']
snes-04720	A piece of art depicting a man watering a tree in an attempt to hang himself won a contest for depicting the current era of multiculturalism in Europe.	false	https://www.snopes.com/fact-check/melting-pot-multiculturalism-artwork/	None	Fauxtography	None	Dan Evon	None	Artwork Shows Man with Noose Around Neck to Represent Multiculturalism	24 May 2016	None	['Europe']
snes-04116	A map shows the results of the 2012 election if "only taxpayers voted."	false	https://www.snopes.com/fact-check/what-if-taxpayers-only-voted-map/	None	Politics	None	Dan Evon	None	What If Only Taxpayers Voted?	1 September 2016	None	['None']
snes-00290	Arizona State Senate candidate Bobby Wilson fatally shot his mother in 1963.	true	https://www.snopes.com/fact-check/bobby-wilson-shooting/	None	Politics	None	Dan MacGuill	None	Did an Arizona State Senate Candidate Fatally Shoot His Mother?	23 July 2018	None	['None']
snes-03729	Ronald Reagan won the 1980 presidential election in a landslide despite trailing Jimmy Carter in public opinion polls two weeks earlier, so polls cannot be trusted to predict election results.	mixture	https://www.snopes.com/fact-check/carter-reagan-polls/	None	Politics	None	David Emery	None	Ronald Reagan Beat Jimmy Carter in a Landslide Despite Trailing 6% in Polls?	23 October 2016	None	['Jimmy_Carter', 'Ronald_Reagan']
snes-04161	Metallica singer James Hetfield has earned a PhD in astrophysics.	false	https://www.snopes.com/fact-check/metallica-singer-celebrates-a-phd-in-astrophysics/	None	Junk News	None	Dan Evon	None	Metallica Singer Celebrates a PhD in Astrophysics	27 August 2016	None	['None']
snes-04530	A photograph shows a female Muslim TSA agent patting down a nun at an airport.	mostly true	https://www.snopes.com/fact-check/muslim-tsa-agent-screens-nun/	None	Fauxtography	None	Dan Evon	None	Muslim TSA Agent Screens a Nun	29 June 2016	None	['None']
snes-04182	Bill and Melinda Gates started a web site to give away free college textbooks.	mixture	https://www.snopes.com/fact-check/bill-and-melinda-gates-free-textbooks/	None	Politics	None	Dan Evon	None	Bill and Melinda Gates Are Giving Away Free College Textbooks?	24 August 2016	None	['Melinda_Gates']
snes-00808	Is Amazon Bankrupting the United States Postal Service?	false	https://www.snopes.com/fact-check/amazon-bankrupting-united-states-postal-service/	None	Business	None	Kim LaCapria	None	Is Amazon Bankrupting the United States Postal Service?	4 April 2018	None	['None']
snes-03024	Oil Feinting	false	https://www.snopes.com/fact-check/trump-vigo-the-carpathian/	None	Junk News	None	Kim LaCapria	None	Did President Trump Replace Washington Portrait with Vigo the Carpathian?	1 February 2017	None	['None']
snes-02220	NBA referees earned a $10 million bonus after the finals went to game 5.	false	https://www.snopes.com/fact-check/nba-10-million-game/	None	Junk News	None	Dan Evon	None	Did NBA Refs Earn a $10 Million Bonus After Series Went to Game 5?	12 June 2017	None	['None']
snes-02575	The term '420' entered drug parlance as a term signifying the time to light up a joint.	true	https://www.snopes.com/fact-check/420/	None	Language	None	Snopes Staff	None	The Origins of 420	14 September 2002	None	['None']
snes-01577	Divers uncovered the submerged city of Heracleion in October 2017.	mostly false	https://www.snopes.com/fact-check/lost-city-of-thonis-heracleion-repurposed-clickbait/	None	Fauxtography	None	Kim LaCapria	None	Did Divers Just Uncover the ‘Lost City’ of Heracleion?	16 October 2017	None	['None']
snes-05019	A photograph shows the preserved claw of a dinosaur called troodon.	false	https://www.snopes.com/fact-check/moa-troodon-claw-photo/	None	Uncategorized	None	Dan Evon	None	The Claw of Troodon	23 March 2016	None	['None']
snes-03839	A photograph shows the founders of Ben & Jerry's holding a sign that reads "We Hate Cops."	false	https://www.snopes.com/fact-check/ben-and-jerrys-hate-cops/	None	Fauxtography	None	Dan Evon	None	Ben and Jerry’s ‘Hate Cops’?	9 October 2016	None	['None']
snes-00078	President Trump's notorious 'fist pump' at a Pennsylvania airport on 9/11 was offered as a greeting to a cancer victim.	false	https://www.snopes.com/fact-check/trump-fistpump-cancer-greeting/	None	Fauxtography	None	David Mikkelson	None	Was President Trump’s 9/11 ‘Fist Pump’ a Greeting to a Cancer Victim?	16 September 2018	None	['Pennsylvania']
snes-00966	Did Barack Obama Announce a Bid to Become UN Secretary General?	false	https://www.snopes.com/fact-check/obama-un-secretary-general/	None	Junk News	None	David Mikkelson	None	Did Barack Obama Announce a Bid to Become UN Secretary General?	25 February 2018	None	['None']
snes-06307	A photograph shows a wooden box covering a statue of George Washington at an NAACP event.	mixture	https://www.snopes.com/fact-check/naacp-covers-george-washington-statue-mlk-day-event/	None	Fauxtography	None	David Mikkelson	None	NAACP Covers George Washington Statue at MLK Day Event?	20 January 2011	None	['George_Washington', 'National_Association_for_the_Advancement_of_Colored_People']
snes-05350	Metallica sued an 8th-grade student for drawing the band's logo on his notebook.	false	https://www.snopes.com/fact-check/metallica-lawsuit-hoax/	None	Junk News	None	Dan Evon	None	FALSE: Metallica Sues 8th Grader Over Hand-Drawn Logo on Notebook	18 January 2016	None	['None']
snes-02315	The image depicts a leaked "White House catering" sheet requiring Mountain Dew, Hungry Man dinners, and framed Electoral College maps.	unproven	https://www.snopes.com/fact-check/white-house-catering-list-leak/	None	Fauxtography	None	Kim LaCapria	None	Is This a Real White House Catering Sheet for a Middle East Visit?	30 May 2017	None	['White_House']
snes-00064	David Attenborough said that "I am unaware of any animal that is as cruel as Israelis" as part of a scathing attack on the country's treatment of the Palestinian people.	misattributed	https://www.snopes.com/fact-check/david-attenborough-israelis/	None	Politics	None	Dan MacGuill	None	Did David Attenborough Say ‘I Am Unaware of Any Animal That Is as Cruel as Israelis’?	19 September 2018	None	['David_Attenborough', 'Israel']
snes-02675	An A-list celebrity had car trouble in your town and afterwards praised the locals for being awesomely helpful.	false	https://www.snopes.com/fact-check/a-celebrity-had-a-flat-tire-in-your-town/	None	Uncategorized	None	Kim LaCapria	None	A Celebrity Had This to Say About Your Town!	4 April 2016	None	['None']
snes-03362	President-elect Donald Trump said Africans are poor because "when it rains they think of sex instead of farming."	false	https://www.snopes.com/fact-check/trump-says-africans-are-poor-because-they-think-of-sex-instead-of-farming/	None	Politics	None	Bethania Palma	None	Trump Says Africans Are Poor Because They Think of Sex Instead of Farming?	12 December 2016	None	['Africa']
snes-04723	Miami-Dade County announced plans to create "texting lanes" on its highways.	false	https://www.snopes.com/fact-check/texting-lanes-miami-dade/	None	Junk News	None	Dan Evon	None	Miami-Dade to Create Freeway ‘Texting Lane’ to Accommodate Millenial Drivers	24 May 2016	None	['None']
snes-05054	A woman encountered kidnapping scouts at a Houston Target.	unproven	https://www.snopes.com/fact-check/target-strangers-facebook-warning/	None	Uncategorized	None	Kim LaCapria	None	Target ‘Talking to Strangers’ Facebook Warning	16 March 2016	None	['None']
snes-03812	Jill Stein endorsed Donald Trump for President.	false	https://www.snopes.com/fact-check/jill-stein-endorsed-donald-trump/	None	Fauxtography	None	Kim LaCapria	None	Did Jill Stein Endorse Donald Trump?	13 October 2016	None	['None']
snes-02281	Samuel Adams has produced HeliYum, a helium-infused brand of beer.	false	https://www.snopes.com/fact-check/helium-beer/	None	Junk News	None	Dan Evon	None	HeliYum — A Helium-Infused Brand of Beer?	20 July 2015	None	['None']
